date,events/0/title,events/0/campus,events/0/location,events/0/building_id,events/0/start_time,events/0/end_time,events/0/duration,events/1/title,events/1/campus,events/1/location,events/1/building_id,events/1/start_time,events/1/end_time,events/1/duration,events/2/title,events/2/campus,events/2/location,events/2/building_id,events/2/start_time,events/2/end_time,events/2/duration,events/3/title,events/3/campus,events/3/location,events/3/building_id,events/3/start_time,events/3/end_time,events/3/duration,events/4/title,events/4/campus,events/4/location,events/4/building_id,events/4/start_time,events/4/end_time,events/4/duration,events/5/title,events/5/campus,events/5/location,events/5/building_id,events/5/start_time,events/5/end_time,events/5/duration,events/6/title,events/6/campus,events/6/location,events/6/building_id,events/6/start_time,events/6/end_time,events/6/duration,events/7/title,events/7/campus,events/7/location,events/7/building_id,events/7/start_time,events/7/end_time,events/7/duration,events/8/title,events/8/campus,events/8/location,events/8/building_id,events/8/start_time,events/8/end_time,events/8/duration,events/9/title,events/9/campus,events/9/location,events/9/building_id,events/9/start_time,events/9/end_time,events/9/duration,events/10/title,events/10/campus,events/10/location,events/10/building_id,events/10/start_time,events/10/end_time,events/10/duration,events/11/title,events/11/campus,events/11/location,events/11/building_id,events/11/start_time,events/11/end_time,events/11/duration,events/12/title,events/12/campus,events/12/location,events/12/building_id,events/12/start_time,events/12/end_time,events/12/duration,events/13/title,events/13/campus,events/13/location,events/13/building_id,events/13/start_time,events/13/end_time,events/13/duration,events/14/title,events/14/campus,events/14/location,events/14/building_id,events/14/start_time,events/14/end_time,events/14/duration,events/15/title,events/15/campus,events/15/location,events/15/building_id,events/15/start_time,events/15/end_time,events/15/duration,events/16/title,events/16/campus,events/16/location,events/16/building_id,events/16/start_time,events/16/end_time,events/16/duration,events/17/title,events/17/campus,events/17/location,events/17/building_id,events/17/start_time,events/17/end_time,events/17/duration,events/18/title,events/18/campus,events/18/location,events/18/building_id,events/18/start_time,events/18/end_time,events/18/duration,events/19/title,events/19/campus,events/19/location,events/19/building_id,events/19/start_time,events/19/end_time,events/19/duration,events/20/title,events/20/campus,events/20/location,events/20/building_id,events/20/start_time,events/20/end_time,events/20/duration,events/21/title,events/21/campus,events/21/location,events/21/building_id,events/21/start_time,events/21/end_time,events/21/duration,events/22/title,events/22/campus,events/22/location,events/22/building_id,events/22/start_time,events/22/end_time,events/22/duration,events/23/title,events/23/campus,events/23/location,events/23/building_id,events/23/start_time,events/23/end_time,events/23/duration,events/24/title,events/24/campus,events/24/location,events/24/building_id,events/24/start_time,events/24/end_time,events/24/duration,events/25/title,events/25/campus,events/25/location,events/25/building_id,events/25/start_time,events/25/end_time,events/25/duration,events/26/title,events/26/campus,events/26/location,events/26/building_id,events/26/start_time,events/26/end_time,events/26/duration,events/27/title,events/27/campus,events/27/location,events/27/building_id,events/27/start_time,events/27/end_time,events/27/duration,events/28/title,events/28/campus,events/28/location,events/28/building_id,events/28/start_time,events/28/end_time,events/28/duration,events/29/title,events/29/campus,events/29/location,events/29/building_id,events/29/start_time,events/29/end_time,events/29/duration,events/30/title,events/30/campus,events/30/location,events/30/building_id,events/30/start_time,events/30/end_time,events/30/duration,events/31/title,events/31/campus,events/31/location,events/31/building_id,events/31/start_time,events/31/end_time,events/31/duration,events/32/title,events/32/campus,events/32/location,events/32/building_id,events/32/start_time,events/32/end_time,events/32/duration
2018-11-19,Length Swim,UTM,Pool,332,25200,32400,7200,Indoor Cycling ,UTM,Fitness Studio,332,25200,28800,3600,Pilatesfit,UTM,Dance Studio,332,40200,43200,3000,Women's Only Zumba,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Cycle-Yoga Fusion,UTM,Fitness Studio,332,47400,50400,3000,Volleyball,UTM,Gym C,332,52200,59400,7200,Badminton,UTM,Gym C,332,61200,65700,4500,Length Swim,UTM,Pool,332,61800,68400,6600,Cycle-Core Fusion,UTM,Fitness Studio,332,66600,70200,3600,Power Yoga,UTM,Dance Studio,332,66600,70200,3600,Women's Only Swim,UTM,Pool,332,69000,75600,6600,Archery,UTM,Gym C,332,69300,75600,6300,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Lane Swim,UTSC,Training Pool,208,34200,82800,48600,Aquafit,UTSC,Training Pool,208,34200,37200,3000,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Pilates,UTSC,Studio 2/3,208,36000,39000,3000,Yoga,UTSC,Studio 2/3,208,39600,42600,3000,Better Bones,UTSC,Studio 2/3,208,43200,46200,3000,Sport & Swim,UTSC,Training Pool,208,46800,50400,3600,Cycling,UTSC,Studio 3,208,47400,49200,1800,Drop-in Climb,UTSC,Rock Climbing Wall,208,57600,79200,21600,Total Core,UTSC,Fitness Centre,208,63000,64800,1800,Zumba,UTSC,Studio 2/3,208,64800,67800,3000,Muscleworks,UTSC,Studio 2/3,208,68400,71400,3000,Sport & Swim,UTSC,Training Pool,208,70200,75600,5400,UTSC Swim Club,UTSC,Training Pool,208,70200,75600,5400,Yoga,UTSC,Studio 2/3,208,72000,75000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,Length Swim,UTM,Pool,332,25200,32400,7200,Barre Boot Camp,UTM,Dance Studio,332,27000,30600,3600,Tai Chi 8,UTM,Dance Studio,332,40200,43200,3000,Women's Only Indoor Cycling,UTM,Fitness Studio,332,43800,46800,3000,Aquafit Boot Camp,UTM,Pool,332,43800,46800,3000,Restorative Yoga,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Step & Sculpt,UTM,Dance Studio,332,47400,50400,3000,Cricket,UTM,Gym C,332,50400,57600,7200,Yogilates,UTM,Dance Studio,332,61800,64800,3000,Length Swim,UTM,Pool,332,65400,72000,6600,Latin Dance,UTM,Dance Studio,332,68400,72000,3600,Aikido,UTM,Multi-Purpose A,332,70200,75600,5400,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Zumba,UTSC,Studio 2/3,208,32400,35400,3000,Women's Only Lane Swim,UTSC,Training Pool,208,34200,40200,6000,Women's Only Sport & Swim,UTSC,Training Pool,208,34200,40200,6000,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Lane Swim,UTSC,Training Pool,208,41400,82800,41400,Pilates,UTSC,Studio 2/3,208,43200,46200,3000,Aquafit,UTSC,Training Pool,208,45000,48000,3000,Sport & Swim,UTSC,Training Pool,208,46800,54000,7200,Body Blast,UTSC,Studio 2/3,208,46800,49800,3000,Yoga,UTSC,Studio 2/3,208,64800,67800,3000,Synrgy,UTSC,Fitness Centre,208,68400,71400,3000,Sport & Swim,UTSC,Training Pool,208,72000,79200,7200,Tai Chi,UTSC,Leadership Room,208,72000,75000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,Length Swim,UTM,Pool,332,25200,32400,7200,Indoor Cycling ,UTM,Fitness Studio,332,25200,28800,3600,Women's Only Swim,UTM,Pool,332,40200,43200,3000,Cycle-Barre Fusion,UTM,Fitness Studio,332,40200,43200,3000,Women's Only Aquafit Boot Camp,UTM,Pool,332,40200,43200,3000,Pilatesfit,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Basketball,UTM,Gym A/B,332,46800,54000,7200,Boot Camp,UTM,Dance Studio,332,47400,50400,3000,Volleyball,UTM,Gym C,332,52200,59400,7200,Hatha Yoga,UTM,Dance Studio,332,61800,64800,3000,Judo,UTM,Dance Studio,332,64800,73800,9000,Zumba,UTM,Dance Studio,332,65400,68400,3000,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Lane Swim,UTSC,Training Pool,208,34200,82800,48600,Aquafit,UTSC,Training Pool,208,34200,37200,3000,Leisure Swim,UTSC,Training Pool,208,37800,43200,5400,Sport & Swim,UTSC,Training Pool,208,43200,46800,3600,Yoga,UTSC,Studio 2/3,208,43200,46200,3000,Drop-in Climb,UTSC,Rock Climbing Wall,208,57600,79200,21600,Total Core,UTSC,Fitness Centre,208,63000,64800,1800,Cycling,UTSC,Studio 3,208,64800,67800,3000,Zumba,UTSC,Studio 2/3,208,68400,71400,3000,Yin Yoga,UTSC,Studio 1,208,72000,75000,3000,Meditation,UTSC,Studio 2/3,208,75600,78600,3000,Cycling,UTSC,Studio 3,208,79200,82200,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,Length Swim,UTM,Pool,332,25200,32400,7200,Women's Only Boot Camp XPRESS,UTM,Fitness Studio,332,40500,42300,1800,Indoor Cycling ,UTM,Fitness Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Body Blast,UTM,Dance Studio,332,47400,50400,3000,Cricket,UTM,Gym C,332,50400,57600,7200,Indoor Cycling ,UTM,Fitness Studio,332,61800,64800,3000,Length Swim,UTM,Pool,332,65400,72000,6600,Yogilates,UTM,Dance Studio,332,65400,68400,3000,Aikido,UTM,Multi-Purpose A,332,70200,75600,5400,Hip Hip Dance,UTM,Dance Studio,332,72000,75600,3600,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Cycling,UTSC,Studio 3,208,25200,28200,3000,Yoga,UTSC,Studio 2/3,208,32400,35400,3000,Leisure Swim,UTSC,Training Pool,208,34200,41400,7200,Lane Swim,UTSC,Training Pool,208,34200,54000,19800,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Aqua Zumba,UTSC,Training Pool,208,43200,46200,3000,Yoga,UTSC,Studio 2,208,46800,49800,3000,Sport & Swim,UTSC,Training Pool,208,50400,54000,3600,Women's Only Sport & Swim,UTSC,Training Pool,208,54600,60000,5400,Women's Only Lane Swim,UTSC,Training Pool,208,54600,60000,5400,Lane Swim,UTSC,Training Pool,208,61200,82800,21600,HIIT,UTSC,Studio 1,208,61200,64200,3000,Zumba,UTSC,Studio 2/3,208,68400,71400,3000,Yoga,UTSC,Studio 2/3,208,75600,78600,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,Length Swim,UTM,Pool,332,25200,32400,7200,Yogilates,UTM,Dance Studio,332,28800,31800,3000,Indoor Soccer,UTM,Gym C,332,32400,50400,18000,Women's Only Swim,UTM,Pool,332,40200,43200,3000,Tai Chi 8,UTM,Dance Studio,332,40200,43200,3000,Pilatesfit,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Zumba,UTM,Dance Studio,332,47400,50400,3000,4 on 4 Basketball,UTM,Gym C,332,52200,59400,7200,Badminton,UTM,Gym C,332,61200,72000,10800,Length Swim,UTM,Pool,332,61800,68400,6600,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Pilates,UTSC,Studio 1/3,208,28800,31800,3000,Lane Swim,UTSC,Training Pool,208,34200,82800,48600,Aquafit,UTSC,Training Pool,208,34200,37200,3000,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Sport & Swim,UTSC,Training Pool,208,43200,48600,5400,Zumba,UTSC,Studio 2/3,208,43200,46200,3000,Bosu,UTSC,Studio 2/3,208,46800,49800,3000,Drop-in Climb,UTSC,Rock Climbing Wall,208,57600,79200,21600,Leisure Swim,UTSC,Training Pool,208,66600,73800,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24,Yoga for Athletes,UTM,Dance Studio,332,33000,36000,3000,Yogilates,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,47400,57600,10200,Lane Swim,UTSC,Training Pool,208,34200,37800,3600,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Drop-in Climb,UTSC,Rock Climbing Wall,208,43200,54000,10800,Yoga,UTSC,Studio 2/3,208,43200,46200,3000,Gentle Yoga,UTSC,Studio 2/3,208,46800,49800,3000,Lane Swim,UTSC,Training Pool,208,51000,82800,31800,Leisure Swim,UTSC,Training Pool,208,51000,57600,6600,Zumba,UTSC,Studio 2/3,208,72000,75000,3000,Barre,UTSC,Studio 2/3,208,75600,78600,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25,Fun Swim,UTM,Pool,332,48600,59400,10800,Lane Swim,UTSC,Training Pool,208,34200,37800,3600,Zumba,UTSC,Studio 2/3,208,36000,39000,3000,Cycling,UTSC,Studio 3,208,40200,42600,2400,Drop-in Climb,UTSC,Rock Climbing Wall,208,43200,54000,10800,Yoga,UTSC,Studio 2/3,208,50400,53400,3000,Lane Swim,UTSC,Training Pool,208,51000,82800,31800,Leisure Swim,UTSC,Training Pool,208,51000,57600,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,Length Swim,UTM,Pool,332,25200,32400,7200,Indoor Cycling ,UTM,Fitness Studio,332,25200,28800,3600,Pilatesfit,UTM,Dance Studio,332,40200,43200,3000,Women's Only Zumba,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Cycle-Yoga Fusion,UTM,Fitness Studio,332,47400,50400,3000,Volleyball,UTM,Gym C,332,52200,59400,7200,Badminton,UTM,Gym C,332,61200,65700,4500,Length Swim,UTM,Pool,332,61800,68400,6600,Cycle-Core Fusion,UTM,Fitness Studio,332,66600,70200,3600,Women's Only Swim,UTM,Pool,332,69000,75600,6600,Archery,UTM,Gym C,332,69300,75600,6300,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Lane Swim,UTSC,Training Pool,208,34200,82800,48600,Aquafit,UTSC,Training Pool,208,34200,37200,3000,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Pilates,UTSC,Studio 2/3,208,36000,39000,3000,Yoga,UTSC,Studio 2/3,208,39600,42600,3000,Better Bones,UTSC,Studio 2/3,208,43200,46200,3000,Sport & Swim,UTSC,Training Pool,208,46800,50400,3600,Cycling,UTSC,Studio 3,208,47400,49200,1800,Drop-in Climb,UTSC,Rock Climbing Wall,208,57600,79200,21600,Total Core,UTSC,Fitness Centre,208,63000,64800,1800,Zumba,UTSC,Studio 2/3,208,64800,67800,3000,Muscleworks,UTSC,Studio 2/3,208,68400,71400,3000,Sport & Swim,UTSC,Training Pool,208,70200,75600,5400,UTSC Swim Club,UTSC,Training Pool,208,70200,75600,5400,Yoga,UTSC,Studio 2/3,208,72000,75000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,Length Swim,UTM,Pool,332,25200,32400,7200,Barre Boot Camp,UTM,Dance Studio,332,27000,30600,3600,Tai Chi 8,UTM,Dance Studio,332,40200,43200,3000,Women's Only Indoor Cycling,UTM,Fitness Studio,332,43800,46800,3000,Aquafit Boot Camp,UTM,Pool,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Step & Sculpt,UTM,Dance Studio,332,47400,50400,3000,Cricket,UTM,Gym C,332,50400,57600,7200,Yogilates,UTM,Dance Studio,332,61800,64800,3000,Length Swim,UTM,Pool,332,65400,72000,6600,Latin Dance,UTM,Dance Studio,332,68400,72000,3600,Aikido,UTM,Multi-Purpose A,332,70200,75600,5400,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Zumba,UTSC,Studio 2/3,208,32400,35400,3000,Women's Only Lane Swim,UTSC,Training Pool,208,34200,40200,6000,Women's Only Sport & Swim,UTSC,Training Pool,208,34200,40200,6000,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Lane Swim,UTSC,Training Pool,208,41400,82800,41400,Pilates,UTSC,Studio 2/3,208,43200,46200,3000,Aquafit,UTSC,Training Pool,208,45000,48000,3000,Sport & Swim,UTSC,Training Pool,208,46800,54000,7200,Body Blast,UTSC,Studio 2/3,208,46800,49800,3000,Yoga,UTSC,Studio 2/3,208,64800,67800,3000,Synrgy,UTSC,Fitness Centre,208,68400,71400,3000,Sport & Swim,UTSC,Training Pool,208,72000,79200,7200,Tai Chi,UTSC,Leadership Room,208,72000,75000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,Length Swim,UTM,Pool,332,25200,32400,7200,Indoor Cycling ,UTM,Fitness Studio,332,25200,28800,3600,Women's Only Swim,UTM,Pool,332,40200,43200,3000,Cycle-Barre Fusion,UTM,Fitness Studio,332,40200,43200,3000,Women's Only Aquafit Boot Camp,UTM,Pool,332,40200,43200,3000,Pilatesfit,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Basketball,UTM,Gym A/B,332,46800,54000,7200,Boot Camp,UTM,Dance Studio,332,47400,50400,3000,Volleyball,UTM,Gym C,332,52200,59400,7200,Zumba,UTM,Dance Studio,332,65400,68400,3000,Indoor Soccer,UTM,Gym C,332,68400,75600,7200,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Lane Swim,UTSC,Training Pool,208,34200,82800,48600,Aquafit,UTSC,Training Pool,208,34200,37200,3000,Leisure Swim,UTSC,Training Pool,208,37800,43200,5400,Sport & Swim,UTSC,Training Pool,208,43200,46800,3600,Yoga,UTSC,Studio 2/3,208,43200,46200,3000,Drop-in Climb,UTSC,Rock Climbing Wall,208,57600,79200,21600,Total Core,UTSC,Fitness Centre,208,63000,64800,1800,Cycling,UTSC,Studio 3,208,64800,67800,3000,Zumba,UTSC,Studio 2/3,208,68400,71400,3000,Yin Yoga,UTSC,Studio 1,208,72000,75000,3000,Meditation,UTSC,Studio 2/3,208,75600,78600,3000,Cycling,UTSC,Studio 3,208,79200,82200,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,Length Swim,UTM,Pool,332,25200,32400,7200,Women's Only Boot Camp XPRESS,UTM,Fitness Studio,332,40500,42300,1800,Indoor Cycling ,UTM,Fitness Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Body Blast,UTM,Dance Studio,332,47400,50400,3000,Cricket,UTM,Gym C,332,50400,57600,7200,Indoor Cycling ,UTM,Fitness Studio,332,61800,64800,3000,Length Swim,UTM,Pool,332,65400,72000,6600,Yogilates,UTM,Dance Studio,332,65400,68400,3000,Aikido,UTM,Multi-Purpose A,332,70200,75600,5400,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Cycling,UTSC,Studio 3,208,25200,28200,3000,Yoga,UTSC,Studio 2/3,208,32400,35400,3000,Leisure Swim,UTSC,Training Pool,208,34200,41400,7200,Lane Swim,UTSC,Training Pool,208,34200,54000,19800,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Aqua Zumba,UTSC,Training Pool,208,43200,46200,3000,Yoga,UTSC,Studio 2,208,46800,49800,3000,Sport & Swim,UTSC,Training Pool,208,50400,54000,3600,Women's Only Sport & Swim,UTSC,Training Pool,208,54600,60000,5400,Women's Only Lane Swim,UTSC,Training Pool,208,54600,60000,5400,Lane Swim,UTSC,Training Pool,208,61200,82800,21600,HIIT,UTSC,Studio 1,208,61200,64200,3000,Zumba,UTSC,Studio 2/3,208,68400,71400,3000,Yoga,UTSC,Studio 2/3,208,75600,78600,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,Length Swim,UTM,Pool,332,25200,32400,7200,Yogilates,UTM,Dance Studio,332,28800,31800,3000,Indoor Soccer,UTM,Gym C,332,32400,50400,18000,Women's Only Swim,UTM,Pool,332,40200,43200,3000,Tai Chi 8,UTM,Dance Studio,332,40200,43200,3000,Pilatesfit,UTM,Dance Studio,332,43800,46800,3000,Length Swim,UTM,Pool,332,43800,54000,10200,Zumba,UTM,Dance Studio,332,47400,50400,3000,4 on 4 Basketball,UTM,Gym C,332,52200,59400,7200,Badminton,UTM,Gym C,332,61200,72000,10800,Length Swim,UTM,Pool,332,61800,68400,6600,Lane Swim,UTSC,Training Pool,208,25200,32400,7200,Pilates,UTSC,Studio 1/3,208,28800,31800,3000,Lane Swim,UTSC,Training Pool,208,34200,82800,48600,Aquafit,UTSC,Training Pool,208,34200,37200,3000,Synrgy,UTSC,Fitness Centre,208,36000,39000,3000,Sport & Swim,UTSC,Training Pool,208,43200,48600,5400,Zumba,UTSC,Studio 2/3,208,43200,46200,3000,Bosu,UTSC,Studio 2/3,208,46800,49800,3000,Drop-in Climb,UTSC,Rock Climbing Wall,208,57600,79200,21600,Leisure Swim,UTSC,Training Pool,208,66600,73800,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
